rckt_info,CG,CP,Cna,Cn,Cma,Cm,Cm (Barrowman),SM,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___100%____com_canard,3.7669712003961804,1.318393132245172,0.39211609479965426,0.7842321895993085,18.863003337828193,37.726006675656386,0.04049320003534229,-48.105659492161266,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___100%___sem_canard,3.864947625586091,1.4496841415620076,0.34699658126469135,0.6939931625293827,16.465386479563936,32.93077295912787,0.04049320003534229,-47.451148998508515,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___30%____sem_canard,5.3032371156836335,4.07328253855902,0.03828652859943381,0.07657305719886762,0.9251609252079768,1.8503218504159535,0.04049320003534229,-24.16413707513975,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___40%____sem_canard,5.2145409056529655,3.097924173924217,0.05800310048749706,0.11600620097499412,2.4119908248326167,4.8239816496652335,0.04049320003534229,-41.583825770702326,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___40%___com_canard,5.062016347722511,2.6510005327475152,0.06905277727156961,0.13810555454313922,3.2708710819194553,6.541742163838911,0.04049320003534229,-47.36769774017674,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___50%___com_canard,5.105643607041713,2.4833851816808443,0.08541790208040782,0.17083580416081565,4.400546432357546,8.801092864715091,0.04049320003534229,-51.51784725659859,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___50%___sem_canard,4.759369638572678,1.89891429500786,0.1298457355707638,0.2596914711415276,7.2970123409134695,14.594024681826939,0.04049320003534229,-56.19755095412216,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___60%____sem_canard,4.980056135724676,2.2293529609658878,0.10532544084041463,0.21065088168082927,5.691925825198378,11.383851650396757,0.04049320003534229,-54.04131973985832,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___70%____sem_canard,4.84107519114787,1.9727020114867444,0.13760343562310912,0.27520687124621823,7.754381221425393,15.508762442850786,0.04049320003534229,-56.353107655424864,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___70%___com_canard,4.7133038765864175,1.6442564112463047,0.1714430707743313,0.3428861415486626,10.337267619058682,20.674535238117365,0.04049320003534229,-60.2956280027527,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___80%___com_canard,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___80%___sem_canard,4.692312657284448,1.78958749166629,0.17484727575698744,0.3496945515139749,9.971190323763949,19.942380647527898,0.04049320003534229,-57.02799932452176,
./csvRunner/GVT-A33/T-altura:1.12___3_aletas___90%____sem_canard,4.537075729611191,1.6537068765412246,0.21705696124204937,0.43411392248409875,12.295781559672692,24.591563119345384,0.04049320003534229,-56.647718134969864,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___30%____com_canard,5.013531398124487,3.1037434621922317,0.054022554214263864,0.10804510842852773,2.0269473930579043,4.053894786115809,0.04049320003534229,-37.52039166861012,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___30%___sem_canard,5.3032371156836335,4.07328253855902,0.03828652859943381,0.07657305719886762,0.9251609252079768,1.8503218504159535,0.04049320003534229,-24.16413707513975,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___40%____com_canard,4.923926112157626,2.4096024667084732,0.08307373592769965,0.1661474718553993,4.103620010978665,8.20724002195733,0.04049320003534229,-49.39732112866705,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___40%____sem_canard,5.2145409056529655,3.097924173924217,0.05800310048749706,0.11600620097499412,2.4119908248326167,4.8239816496652335,0.04049320003534229,-41.583825770702326,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___50%___com_canard,5.105643607041713,2.4833851816808443,0.08541790208040782,0.17083580416081565,4.400546432357546,8.801092864715091,0.04049320003534229,-51.51784725659859,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___60%____com_canard,4.576710373702026,1.661586488650569,0.16896014809873938,0.33792029619747876,9.676616175726261,19.353232351452522,0.04049320003534229,-57.27158909727814,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___60%___sem_canard,4.695473144598182,2.000407630653366,0.1351205129475172,0.2702410258950344,7.154393608475199,14.308787216950398,0.04049320003534229,-52.94824192425965,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___70%____com_canard,4.382481008559876,1.5547318246812547,0.2119974744756654,0.4239949489513308,11.777518377856417,23.555036755712834,0.04049320003534229,-55.55499378936387,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___70%____sem_canard,4.489138623358197,1.7914082674459504,0.1781578393244432,0.3563156786488864,9.442471734563595,18.88494346912719,0.04049320003534229,-53.00059638334472,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___80%___com_canard,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___90%____com_canard,3.984982324979479,1.403628183770992,0.3179355086342524,0.6358710172685048,16.123853474464717,32.247706948929434,0.04049320003534229,-50.71422674279935,
./csvRunner/GVT-A33/T-altura:1.12___4_aletas___90%____sem_canard,4.537075729611191,1.6537068765412246,0.21705696124204937,0.43411392248409875,12.295781559672692,24.591563119345384,0.04049320003534229,-56.647718134969864,
./csvRunner/GVT-A33/T-altura:1.12____3_aletas___90%____com_canard,4.427526852962785,1.4722973079768709,0.25089659639327155,0.5017931927865431,14.566935842785902,29.133871685571805,0.04049320003534229,-58.05951954785686,
